"Statistic Label","CensusYear","Sex","Single Year of Age","County and City","UNIT","VALUE"
"Population","2011","Both sexes","1 year","Carlow","Number","844"
"Population","2011","Both sexes","1 year","Dublin City","Number","6440"
"Population","2011","Both sexes","1 year","Donegal","Number","2547"
"Population","2011","Both sexes","1 year","Dún Laoghaire-Rathdown","Number","2697"
"Population","2011","Both sexes","1 year","Fingal","Number","5665"
"Population","2011","Both sexes","1 year","Galway City","Number","930"
"Population","2011","Both sexes","1 year","Galway County","Number","2841"
"Population","2011","Both sexes","1 year","Kildare","Number","3813"
"Population","2011","Both sexes","1 year","Kilkenny","Number","1516"
"Population","2011","Both sexes","1 year","Kerry","Number","2033"
"Population","2011","Both sexes","1 year","Longford","Number","638"
"Population","2011","Both sexes","1 year","Louth","Number","2074"
"Population","2011","Both sexes","1 year","Limerick City and County","Number","2854"
"Population","2011","Both sexes","1 year","Leitrim","Number","495"
"Population","2011","Both sexes","1 year","Laois","Number","1550"
"Population","2011","Both sexes","1 year","Meath","Number","3530"
"Population","2011","Both sexes","1 year","Monaghan","Number","972"
"Population","2011","Both sexes","1 year","Mayo","Number","1852"
"Population","2011","Both sexes","1 year","Offaly","Number","1245"
"Population","2011","Both sexes","1 year","Roscommon","Number","942"
"Population","2011","Both sexes","1 year","South Dublin","Number","4864"
"Population","2011","Both sexes","1 year","Sligo","Number","955"
"Population","2011","Both sexes","1 year","Tipperary","Number","2461"
"Population","2011","Both sexes","1 year","Waterford City and County","Number","1726"
"Population","2011","Both sexes","1 year","Westmeath","Number","1373"
"Population","2011","Both sexes","1 year","Wicklow","Number","2301"
"Population","2011","Both sexes","1 year","Wexford","Number","2248"
"Population","2011","Both sexes","2 years","State","Number","72566"
"Population","2011","Both sexes","2 years","Cork City and Cork County","Number","8197"
"Population","2011","Both sexes","2 years","Clare","Number","1791"
"Population","2011","Both sexes","2 years","Cavan","Number","1270"
"Population","2011","Both sexes","2 years","Carlow","Number","879"
"Population","2011","Both sexes","2 years","Dublin City","Number","6029"
"Population","2011","Both sexes","2 years","Donegal","Number","2601"
"Population","2011","Both sexes","2 years","Dún Laoghaire-Rathdown","Number","2635"
"Population","2011","Both sexes","2 years","Fingal","Number","5381"
"Population","2011","Both sexes","2 years","Galway City","Number","983"
"Population","2011","Both sexes","2 years","Galway County","Number","2922"
"Population","2011","Both sexes","2 years","Kildare","Number","3814"
"Population","2011","Both sexes","2 years","Kilkenny","Number","1546"
"Population","2011","Both sexes","2 years","Kerry","Number","2009"
"Population","2011","Both sexes","2 years","Longford","Number","653"
"Population","2011","Both sexes","2 years","Louth","Number","2197"
"Population","2011","Both sexes","2 years","Limerick City and County","Number","2898"
"Population","2011","Both sexes","2 years","Leitrim","Number","479"
"Population","2011","Both sexes","2 years","Laois","Number","1477"
"Population","2011","Both sexes","2 years","Meath","Number","3618"
"Population","2011","Both sexes","2 years","Monaghan","Number","1036"
"Population","2011","Both sexes","2 years","Mayo","Number","1841"
"Population","2011","Both sexes","2 years","Offaly","Number","1308"
"Population","2011","Both sexes","2 years","Roscommon","Number","949"
"Population","2011","Both sexes","2 years","South Dublin","Number","4714"
"Population","2011","Both sexes","2 years","Sligo","Number","889"
"Population","2011","Both sexes","2 years","Tipperary","Number","2460"
"Population","2011","Both sexes","2 years","Waterford City and County","Number","1814"
"Population","2011","Both sexes","2 years","Westmeath","Number","1357"
"Population","2011","Both sexes","2 years","Wicklow","Number","2356"
"Population","2011","Both sexes","2 years","Wexford","Number","2463"
"Population","2011","Both sexes","3 years","State","Number","71457"
"Population","2011","Both sexes","3 years","Cork City and Cork County","Number","8049"
"Population","2011","Both sexes","3 years","Clare","Number","1843"
"Population","2011","Both sexes","3 years","Cavan","Number","1246"
"Population","2011","Both sexes","3 years","Carlow","Number","916"
"Population","2011","Both sexes","3 years","Dublin City","Number","5642"
"Population","2011","Both sexes","3 years","Donegal","Number","2607"
"Population","2011","Both sexes","3 years","Dún Laoghaire-Rathdown","Number","2570"
"Population","2011","Both sexes","3 years","Fingal","Number","5410"
"Population","2011","Both sexes","3 years","Galway City","Number","951"
"Population","2011","Both sexes","3 years","Galway County","Number","2943"
"Population","2011","Both sexes","3 years","Kildare","Number","3908"
"Population","2011","Both sexes","3 years","Kilkenny","Number","1445"
"Population","2011","Both sexes","3 years","Kerry","Number","2080"
"Population","2011","Both sexes","3 years","Longford","Number","667"
"Population","2011","Both sexes","3 years","Louth","Number","2019"
"Population","2011","Both sexes","3 years","Limerick City and County","Number","2814"
"Population","2011","Both sexes","3 years","Leitrim","Number","488"
"Population","2011","Both sexes","3 years","Laois","Number","1547"
"Population","2011","Both sexes","3 years","Meath","Number","3603"
"Population","2011","Both sexes","3 years","Monaghan","Number","1009"
"Population","2011","Both sexes","3 years","Mayo","Number","1908"
"Population","2011","Both sexes","3 years","Offaly","Number","1235"
"Population","2011","Both sexes","3 years","Roscommon","Number","904"
"Population","2011","Both sexes","3 years","South Dublin","Number","4607"
"Population","2011","Both sexes","3 years","Sligo","Number","926"
"Population","2011","Both sexes","3 years","Tipperary","Number","2393"
"Population","2011","Both sexes","3 years","Waterford City and County","Number","1717"
"Population","2011","Both sexes","3 years","Westmeath","Number","1394"
"Population","2011","Both sexes","3 years","Wicklow","Number","2293"
"Population","2011","Both sexes","3 years","Wexford","Number","2323"
"Population","2011","Both sexes","4 years","State","Number","67251"
"Population","2011","Both sexes","4 years","Cork City and Cork County","Number","7593"
"Population","2011","Both sexes","4 years","Clare","Number","1817"
"Population","2011","Both sexes","4 years","Cavan","Number","1205"
"Population","2011","Both sexes","4 years","Carlow","Number","808"
"Population","2011","Both sexes","4 years","Dublin City","Number","5173"
"Population","2011","Both sexes","4 years","Donegal","Number","2460"
"Population","2011","Both sexes","4 years","Dún Laoghaire-Rathdown","Number","2492"
"Population","2011","Both sexes","4 years","Fingal","Number","4798"
"Population","2011","Both sexes","4 years","Galway City","Number","860"
"Population","2011","Both sexes","4 years","Galway County","Number","2648"
"Population","2011","Both sexes","4 years","Kildare","Number","3554"
"Population","2011","Both sexes","4 years","Kilkenny","Number","1442"
"Population","2011","Both sexes","4 years","Kerry","Number","1980"
"Population","2011","Both sexes","4 years","Longford","Number","649"
"Population","2011","Both sexes","4 years","Louth","Number","2073"
"Population","2011","Both sexes","4 years","Limerick City and County","Number","2663"
"Population","2011","Both sexes","4 years","Leitrim","Number","522"
"Population","2011","Both sexes","4 years","Laois","Number","1446"
"Population","2011","Both sexes","4 years","Meath","Number","3308"
"Population","2011","Both sexes","4 years","Monaghan","Number","928"
"Population","2011","Both sexes","4 years","Mayo","Number","1782"
"Population","2011","Both sexes","4 years","Offaly","Number","1210"
"Population","2011","Both sexes","4 years","Roscommon","Number","916"
"Population","2011","Both sexes","4 years","South Dublin","Number","4228"
"Population","2011","Both sexes","4 years","Sligo","Number","915"
"Population","2011","Both sexes","4 years","Tipperary","Number","2319"
"Population","2011","Both sexes","4 years","Waterford City and County","Number","1661"
"Population","2011","Both sexes","4 years","Westmeath","Number","1327"
"Population","2011","Both sexes","4 years","Wicklow","Number","2184"
"Population","2011","Both sexes","4 years","Wexford","Number","2290"
"Population","2011","Both sexes","5 years","State","Number","64937"
"Population","2011","Both sexes","5 years","Cork City and Cork County","Number","7296"
"Population","2011","Both sexes","5 years","Clare","Number","1804"
"Population","2011","Both sexes","5 years","Cavan","Number","1086"
"Population","2011","Both sexes","5 years","Carlow","Number","811"
"Population","2011","Both sexes","5 years","Dublin City","Number","4916"
"Population","2011","Both sexes","5 years","Donegal","Number","2468"
"Population","2011","Both sexes","5 years","Dún Laoghaire-Rathdown","Number","2445"
"Population","2011","Both sexes","5 years","Fingal","Number","4481"
"Population","2011","Both sexes","5 years","Galway City","Number","795"
"Population","2011","Both sexes","5 years","Galway County","Number","2766"
"Population","2011","Both sexes","5 years","Kildare","Number","3447"
"Population","2011","Both sexes","5 years","Kilkenny","Number","1383"
"Population","2011","Both sexes","5 years","Kerry","Number","1879"
"Population","2011","Both sexes","5 years","Longford","Number","625"
"Population","2011","Both sexes","5 years","Louth","Number","1937"
"Population","2011","Both sexes","5 years","Limerick City and County","Number","2596"
"Population","2011","Both sexes","5 years","Leitrim","Number","470"
"Population","2011","Both sexes","5 years","Laois","Number","1273"
"Population","2011","Both sexes","5 years","Meath","Number","3192"
"Population","2011","Both sexes","5 years","Monaghan","Number","921"
"Population","2011","Both sexes","5 years","Mayo","Number","1832"
"Population","2011","Both sexes","5 years","Offaly","Number","1169"
"Population","2011","Both sexes","5 years","Roscommon","Number","944"
"Population","2011","Both sexes","5 years","South Dublin","Number","4070"
"Population","2011","Both sexes","5 years","Sligo","Number","841"
"Population","2011","Both sexes","5 years","Tipperary","Number","2271"
"Population","2011","Both sexes","5 years","Waterford City and County","Number","1652"
"Population","2011","Both sexes","5 years","Westmeath","Number","1309"
"Population","2011","Both sexes","5 years","Wicklow","Number","2060"
"Population","2011","Both sexes","5 years","Wexford","Number","2198"
"Population","2011","Both sexes","6 years","State","Number","64976"
"Population","2011","Both sexes","6 years","Cork City and Cork County","Number","7207"
"Population","2011","Both sexes","6 years","Clare","Number","1778"
"Population","2011","Both sexes","6 years","Cavan","Number","1132"
"Population","2011","Both sexes","6 years","Carlow","Number","849"
"Population","2011","Both sexes","6 years","Dublin City","Number","5018"
"Population","2011","Both sexes","6 years","Donegal","Number","2435"
"Population","2011","Both sexes","6 years","Dún Laoghaire-Rathdown","Number","2396"
"Population","2011","Both sexes","6 years","Fingal","Number","4468"
"Population","2011","Both sexes","6 years","Galway City","Number","786"
"Population","2011","Both sexes","6 years","Galway County","Number","2749"
"Population","2011","Both sexes","6 years","Kildare","Number","3511"
"Population","2011","Both sexes","6 years","Kilkenny","Number","1345"
"Population","2011","Both sexes","6 years","Kerry","Number","1945"
"Population","2011","Both sexes","6 years","Longford","Number","596"
"Population","2011","Both sexes","6 years","Louth","Number","1902"
"Population","2011","Both sexes","6 years","Limerick City and County","Number","2489"
"Population","2011","Both sexes","6 years","Leitrim","Number","459"
"Population","2011","Both sexes","6 years","Laois","Number","1372"
"Population","2011","Both sexes","6 years","Meath","Number","3171"
"Population","2011","Both sexes","6 years","Monaghan","Number","896"
"Population","2011","Both sexes","6 years","Mayo","Number","1837"
"Population","2011","Both sexes","6 years","Offaly","Number","1166"
"Population","2011","Both sexes","6 years","Roscommon","Number","888"
"Population","2011","Both sexes","6 years","South Dublin","Number","4093"
"Population","2011","Both sexes","6 years","Sligo","Number","852"
"Population","2011","Both sexes","6 years","Tipperary","Number","2377"
"Population","2011","Both sexes","6 years","Waterford City and County","Number","1621"
"Population","2011","Both sexes","6 years","Westmeath","Number","1284"
"Population","2011","Both sexes","6 years","Wicklow","Number","2161"
"Population","2011","Both sexes","6 years","Wexford","Number","2193"
"Population","2011","Both sexes","7 years","State","Number","64441"
"Population","2011","Both sexes","7 years","Cork City and Cork County","Number","7042"
"Population","2011","Both sexes","7 years","Clare","Number","1700"
"Population","2011","Both sexes","7 years","Cavan","Number","1145"
"Population","2011","Both sexes","7 years","Carlow","Number","843"
"Population","2011","Both sexes","7 years","Dublin City","Number","4890"
"Population","2011","Both sexes","7 years","Donegal","Number","2518"
"Population","2011","Both sexes","7 years","Dún Laoghaire-Rathdown","Number","2479"
"Population","2011","Both sexes","7 years","Fingal","Number","4481"
"Population","2011","Both sexes","7 years","Galway City","Number","816"
"Population","2011","Both sexes","7 years","Galway County","Number","2666"
"Population","2011","Both sexes","7 years","Kildare","Number","3550"
"Population","2011","Both sexes","7 years","Kilkenny","Number","1423"
"Population","2011","Both sexes","7 years","Kerry","Number","1911"
"Population","2011","Both sexes","7 years","Longford","Number","592"
"Population","2011","Both sexes","7 years","Louth","Number","1870"
"Population","2011","Both sexes","7 years","Limerick City and County","Number","2490"
"Population","2011","Both sexes","7 years","Leitrim","Number","487"
"Population","2011","Both sexes","7 years","Laois","Number","1386"
"Population","2011","Both sexes","7 years","Meath","Number","3099"
"Population","2011","Both sexes","7 years","Monaghan","Number","852"
"Population","2011","Both sexes","7 years","Mayo","Number","1849"
"Population","2011","Both sexes","7 years","Offaly","Number","1201"
"Population","2011","Both sexes","7 years","Roscommon","Number","907"
"Population","2011","Both sexes","7 years","South Dublin","Number","3991"
"Population","2011","Both sexes","7 years","Sligo","Number","873"
"Population","2011","Both sexes","7 years","Tipperary","Number","2222"
"Population","2011","Both sexes","7 years","Waterford City and County","Number","1608"
"Population","2011","Both sexes","7 years","Westmeath","Number","1286"
"Population","2011","Both sexes","7 years","Wicklow","Number","2003"
"Population","2011","Both sexes","7 years","Wexford","Number","2261"
"Population","2011","Both sexes","8 years","State","Number","63816"
"Population","2011","Both sexes","8 years","Cork City and Cork County","Number","7107"
"Population","2011","Both sexes","8 years","Clare","Number","1716"
"Population","2011","Both sexes","8 years","Cavan","Number","1106"
"Population","2011","Both sexes","8 years","Carlow","Number","826"
"Population","2011","Both sexes","8 years","Dublin City","Number","4956"
"Population","2011","Both sexes","8 years","Donegal","Number","2376"
"Population","2011","Both sexes","8 years","Dún Laoghaire-Rathdown","Number","2385"
"Population","2011","Both sexes","8 years","Fingal","Number","4528"
"Population","2011","Both sexes","8 years","Galway City","Number","857"
"Population","2011","Both sexes","8 years","Galway County","Number","2574"
"Population","2011","Both sexes","8 years","Kildare","Number","3504"
"Population","2011","Both sexes","8 years","Kilkenny","Number","1391"
"Population","2011","Both sexes","8 years","Kerry","Number","1918"
"Population","2011","Both sexes","8 years","Longford","Number","637"
"Population","2011","Both sexes","8 years","Louth","Number","1867"
"Population","2011","Both sexes","8 years","Limerick City and County","Number","2535"
"Population","2011","Both sexes","8 years","Leitrim","Number","422"
"Population","2011","Both sexes","8 years","Laois","Number","1325"
"Population","2011","Both sexes","8 years","Meath","Number","3005"
"Population","2011","Both sexes","8 years","Monaghan","Number","845"
"Population","2011","Both sexes","8 years","Mayo","Number","1795"
"Population","2011","Both sexes","8 years","Offaly","Number","1198"
"Population","2011","Both sexes","8 years","Roscommon","Number","885"
"Population","2011","Both sexes","8 years","South Dublin","Number","4041"
"Population","2011","Both sexes","8 years","Sligo","Number","822"
"Population","2011","Both sexes","8 years","Tipperary","Number","2131"
"Population","2011","Both sexes","8 years","Waterford City and County","Number","1633"
"Population","2011","Both sexes","8 years","Westmeath","Number","1212"
"Population","2011","Both sexes","8 years","Wicklow","Number","2025"
"Population","2011","Both sexes","8 years","Wexford","Number","2194"
"Population","2011","Both sexes","9 years","State","Number","62600"
"Population","2011","Both sexes","9 years","Cork City and Cork County","Number","6884"
"Population","2011","Both sexes","9 years","Clare","Number","1726"
"Population","2011","Both sexes","9 years","Cavan","Number","1060"
"Population","2011","Both sexes","9 years","Carlow","Number","772"
"Population","2011","Both sexes","9 years","Dublin City","Number","4906"
"Population","2011","Both sexes","9 years","Donegal","Number","2419"
"Population","2011","Both sexes","9 years","Dún Laoghaire-Rathdown","Number","2345"
"Population","2011","Both sexes","9 years","Fingal","Number","4094"
"Population","2011","Both sexes","9 years","Galway City","Number","792"
"Population","2011","Both sexes","9 years","Galway County","Number","2555"
"Population","2011","Both sexes","9 years","Kildare","Number","3328"
"Population","2011","Both sexes","9 years","Kilkenny","Number","1383"
"Population","2011","Both sexes","9 years","Kerry","Number","1961"
"Population","2011","Both sexes","9 years","Longford","Number","624"
"Population","2011","Both sexes","9 years","Louth","Number","1931"
"Population","2011","Both sexes","9 years","Limerick City and County","Number","2416"
"Population","2011","Both sexes","9 years","Leitrim","Number","456"
"Population","2011","Both sexes","9 years","Laois","Number","1252"
"Population","2011","Both sexes","9 years","Meath","Number","3028"
"Population","2011","Both sexes","9 years","Monaghan","Number","817"
"Population","2011","Both sexes","9 years","Mayo","Number","1790"
"Population","2011","Both sexes","9 years","Offaly","Number","1196"
"Population","2011","Both sexes","9 years","Roscommon","Number","909"
"Population","2011","Both sexes","9 years","South Dublin","Number","3910"
"Population","2011","Both sexes","9 years","Sligo","Number","808"
"Population","2011","Both sexes","9 years","Tipperary","Number","2211"
"Population","2011","Both sexes","9 years","Waterford City and County","Number","1620"
"Population","2011","Both sexes","9 years","Westmeath","Number","1298"
"Population","2011","Both sexes","9 years","Wicklow","Number","1930"
"Population","2011","Both sexes","9 years","Wexford","Number","2179"
"Population","2011","Both sexes","10 years","State","Number","61429"
"Population","2011","Both sexes","10 years","Cork City and Cork County","Number","6830"
"Population","2011","Both sexes","10 years","Clare","Number","1674"
"Population","2011","Both sexes","10 years","Cavan","Number","1114"
"Population","2011","Both sexes","10 years","Carlow","Number","763"
"Population","2011","Both sexes","10 years","Dublin City","Number","4923"
"Population","2011","Both sexes","10 years","Donegal","Number","2349"
"Population","2011","Both sexes","10 years","Dún Laoghaire-Rathdown","Number","2343"
"Population","2011","Both sexes","10 years","Fingal","Number","3877"
"Population","2011","Both sexes","10 years","Galway City","Number","774"
"Population","2011","Both sexes","10 years","Galway County","Number","2480"
"Population","2011","Both sexes","10 years","Kildare","Number","3282"
"Population","2011","Both sexes","10 years","Kilkenny","Number","1406"
"Population","2011","Both sexes","10 years","Kerry","Number","1815"
"Population","2011","Both sexes","10 years","Longford","Number","589"
"Population","2011","Both sexes","10 years","Louth","Number","1850"
"Population","2011","Both sexes","10 years","Limerick City and County","Number","2373"
"Population","2011","Both sexes","10 years","Leitrim","Number","402"
"Population","2011","Both sexes","10 years","Laois","Number","1261"
"Population","2011","Both sexes","10 years","Meath","Number","2847"
"Population","2011","Both sexes","10 years","Monaghan","Number","831"
"Population","2011","Both sexes","10 years","Mayo","Number","1796"
"Population","2011","Both sexes","10 years","Offaly","Number","1125"
"Population","2011","Both sexes","10 years","Roscommon","Number","907"
"Population","2011","Both sexes","10 years","South Dublin","Number","3833"
"Population","2011","Both sexes","10 years","Sligo","Number","863"
"Population","2011","Both sexes","10 years","Tipperary","Number","2323"
"Population","2011","Both sexes","10 years","Waterford City and County","Number","1551"
"Population","2011","Both sexes","10 years","Westmeath","Number","1249"
"Population","2011","Both sexes","10 years","Wicklow","Number","1943"
"Population","2011","Both sexes","10 years","Wexford","Number","2056"
"Population","2011","Both sexes","11 years","State","Number","60834"
"Population","2011","Both sexes","11 years","Cork City and Cork County","Number","6678"
"Population","2011","Both sexes","11 years","Clare","Number","1791"
"Population","2011","Both sexes","11 years","Cavan","Number","1108"
"Population","2011","Both sexes","11 years","Carlow","Number","775"
"Population","2011","Both sexes","11 years","Dublin City","Number","4929"
"Population","2011","Both sexes","11 years","Donegal","Number","2451"
"Population","2011","Both sexes","11 years","Dún Laoghaire-Rathdown","Number","2405"
"Population","2011","Both sexes","11 years","Fingal","Number","3620"
"Population","2011","Both sexes","11 years","Galway City","Number","699"
"Population","2011","Both sexes","11 years","Galway County","Number","2480"
"Population","2011","Both sexes","11 years","Kildare","Number","3060"
"Population","2011","Both sexes","11 years","Kilkenny","Number","1320"
"Population","2011","Both sexes","11 years","Kerry","Number","1956"
"Population","2011","Both sexes","11 years","Longford","Number","556"
"Population","2011","Both sexes","11 years","Louth","Number","1796"
"Population","2011","Both sexes","11 years","Limerick City and County","Number","2447"
"Population","2011","Both sexes","11 years","Leitrim","Number","451"
"Population","2011","Both sexes","11 years","Laois","Number","1158"
"Population","2011","Both sexes","11 years","Meath","Number","2700"
"Population","2011","Both sexes","11 years","Monaghan","Number","840"
"Population","2011","Both sexes","11 years","Mayo","Number","1838"
"Population","2011","Both sexes","11 years","Offaly","Number","1171"
"Population","2011","Both sexes","11 years","Roscommon","Number","870"
"Population","2011","Both sexes","11 years","South Dublin","Number","3670"
"Population","2011","Both sexes","11 years","Sligo","Number","838"
"Population","2011","Both sexes","11 years","Tipperary","Number","2241"
"Population","2011","Both sexes","11 years","Waterford City and County","Number","1575"
"Population","2011","Both sexes","11 years","Westmeath","Number","1257"
"Population","2011","Both sexes","11 years","Wicklow","Number","1978"
"Population","2011","Both sexes","11 years","Wexford","Number","2176"
"Population","2011","Both sexes","12 years","State","Number","61234"
"Population","2011","Both sexes","12 years","Cork City and Cork County","Number","6922"
"Population","2011","Both sexes","12 years","Clare","Number","1682"
"Population","2011","Both sexes","12 years","Cavan","Number","1127"
"Population","2011","Both sexes","12 years","Carlow","Number","770"
"Population","2011","Both sexes","12 years","Dublin City","Number","5169"
"Population","2011","Both sexes","12 years","Donegal","Number","2447"
"Population","2011","Both sexes","12 years","Dún Laoghaire-Rathdown","Number","2486"
"Population","2011","Both sexes","12 years","Fingal","Number","3527"
"Population","2011","Both sexes","12 years","Galway City","Number","698"
"Population","2011","Both sexes","12 years","Galway County","Number","2522"
"Population","2011","Both sexes","12 years","Kildare","Number","3118"
"Population","2011","Both sexes","12 years","Kilkenny","Number","1311"
"Population","2011","Both sexes","12 years","Kerry","Number","1941"
"Population","2011","Both sexes","12 years","Longford","Number","561"
"Population","2011","Both sexes","12 years","Louth","Number","1782"
"Population","2011","Both sexes","12 years","Limerick City and County","Number","2505"
"Population","2011","Both sexes","12 years","Leitrim","Number","455"
"Population","2011","Both sexes","12 years","Laois","Number","1173"
"Population","2011","Both sexes","12 years","Meath","Number","2732"
"Population","2011","Both sexes","12 years","Monaghan","Number","873"
"Population","2011","Both sexes","12 years","Mayo","Number","1794"
"Population","2011","Both sexes","12 years","Offaly","Number","1154"
"Population","2011","Both sexes","12 years","Roscommon","Number","912"
"Population","2011","Both sexes","12 years","South Dublin","Number","3652"
"Population","2011","Both sexes","12 years","Sligo","Number","898"
"Population","2011","Both sexes","12 years","Tipperary","Number","2190"
"Population","2011","Both sexes","12 years","Waterford City and County","Number","1568"
"Population","2011","Both sexes","12 years","Westmeath","Number","1216"
"Population","2011","Both sexes","12 years","Wicklow","Number","1901"
"Population","2011","Both sexes","12 years","Wexford","Number","2148"
"Population","2011","Both sexes","13 years","State","Number","59992"
"Population","2011","Both sexes","13 years","Cork City and Cork County","Number","6723"
"Population","2011","Both sexes","13 years","Clare","Number","1658"
"Population","2011","Both sexes","13 years","Cavan","Number","1111"
"Population","2011","Both sexes","13 years","Carlow","Number","711"
"Population","2011","Both sexes","13 years","Dublin City","Number","5079"
"Population","2011","Both sexes","13 years","Donegal","Number","2438"
"Population","2011","Both sexes","13 years","Dún Laoghaire-Rathdown","Number","2573"
"Population","2011","Both sexes","13 years","Fingal","Number","3375"
"Population","2011","Both sexes","13 years","Galway City","Number","705"
"Population","2011","Both sexes","13 years","Galway County","Number","2405"
"Population","2011","Both sexes","13 years","Kildare","Number","2939"
"Population","2011","Both sexes","13 years","Kilkenny","Number","1367"
"Population","2011","Both sexes","13 years","Kerry","Number","2004"
"Population","2011","Both sexes","13 years","Longford","Number","517"
"Population","2011","Both sexes","13 years","Louth","Number","1722"
"Population","2011","Both sexes","13 years","Limerick City and County","Number","2491"
"Population","2011","Both sexes","13 years","Leitrim","Number","416"
"Population","2011","Both sexes","13 years","Laois","Number","1141"
"Population","2011","Both sexes","13 years","Meath","Number","2684"
"Population","2011","Both sexes","13 years","Monaghan","Number","863"
"Population","2011","Both sexes","13 years","Mayo","Number","1753"
"Population","2011","Both sexes","13 years","Offaly","Number","1211"
"Population","2011","Both sexes","13 years","Roscommon","Number","864"
"Population","2011","Both sexes","13 years","South Dublin","Number","3473"
"Population","2011","Both sexes","13 years","Sligo","Number","846"
"Population","2011","Both sexes","13 years","Tipperary","Number","2270"
"Population","2011","Both sexes","13 years","Waterford City and County","Number","1541"
"Population","2011","Both sexes","13 years","Westmeath","Number","1228"
"Population","2011","Both sexes","13 years","Wicklow","Number","1805"
"Population","2011","Both sexes","13 years","Wexford","Number","2079"
"Population","2011","Both sexes","14 years","State","Number","59002"
"Population","2011","Both sexes","14 years","Cork City and Cork County","Number","6626"
